transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
average_filtering,0.5719552718040621,0.5725619772998806,0.510012196336121,0.5091534747112704,0.4558349512146555,0.6588915023894862,0.5371521555157308,0.9747641626841895,0.9748699472321785,0.9984785692951016,N/A,0.9953983721624851,0.9984785692951016,0.9975825119474313,0.997790969733174,0.9379075816407806,0.9025039824771007,0.8228233273596177,0.9744312524890482,0.9742321286340103,0.9748792811628834,0.9750410692951016,0.9745588162086818,0.972237778773397,0.6330458482676224,0.5807509458383114
impulse_noise,0.5694226652727997,0.5700947082835524,0.5092281461569096,0.5084378733572282,0.45577894763042615,0.658922615491836,0.5371708233771406,0.9767709577857427,0.976746067303863,0.9966397849462365,0.9966771206690561,N/A,0.9966397849462365,0.9956286091198726,0.992280839307049,0.9390494324970131,0.9030889088012743,0.8230846774193549,0.9764069344882517,0.9760584677419355,0.9767367333731581,0.9767771804062126,0.9763291517323776,0.9742072381521306,0.6318262146555157,0.5798268866985264
gaussian_blurring,0.5719490491835922,0.5726242035045799,0.5100339755077659,0.5091192502986858,0.45587850955794507,0.6589537285941856,0.5371708233771406,0.9747610513739546,0.9748606133014736,0.9982545549581839,0.9984505675029869,0.9952552518916766,N/A,0.9975265083632019,0.997797192353644,0.9379480286738351,0.9025133164078056,0.8229571136997212,0.9743970280764636,0.9741792363600159,0.9749041716447631,0.9750130675029869,0.9745059239346874,0.9721879978096376,0.6331205197132617,0.5807353892871366
jpeg_compression,0.5718868229788928,0.5725339755077659,0.5099499701314217,0.5091285842293907,0.4558007268020709,0.6588759458383114,0.537130376344086,0.9748886150935883,0.9749321734368778,0.9979216447630426,0.9979060882118678,0.9951743578255675,0.9979216447630426,N/A,0.9938551622859418,0.9379511399840701,0.9019843936678614,0.8226708731581044,0.974540148347272,0.9743410244922341,0.9749663978494624,0.9750472919155715,0.9745619275189168,0.9724835722819594,0.632722272003186,0.5807322779769016
median_filtering,0.5721917313819196,0.5725650886101155,0.5103419952210275,0.5090476901632816,0.4557167214257268,0.6588666119076065,0.5369592542811629,0.9735165272799682,0.9735911987256073,0.9923804012345679,0.9924115143369175,0.9914127837514934,0.9923804012345679,0.992097272003186,N/A,0.937496888689765,0.9018132716049383,0.8222041766228594,0.9734014088012743,0.973158726602947,0.9735911987256073,0.9735258612106731,0.9733298486658701,0.9713323874950219,0.6324640332536838,0.5805455993628037
crop_x0.03,0.5695440063719633,0.5702751642771804,0.5094521604938271,0.5083943150139387,0.4509906411788132,0.6534996017522899,0.5319593787335722,0.9464605734767025,0.9464854639585822,0.9379013590203107,0.9378422441258463,0.9391303265631222,0.9379013590203107,0.9379729191557149,0.9374688868976503,N/A,N/A,N/A,0.9462241138988451,0.946781038430904,0.9465819145758662,0.9465445788530465,0.9463423436877738,0.9454307297889287,0.6222620469932297,0.5858379380724811
crop_x0.05,0.567835897052967,0.568931078255675,0.5087738948626045,0.5074546993229789,0.4469397152528873,0.646237803663879,0.5266888191955397,0.9075723068498606,0.9076718687773795,0.9024137544802867,0.902385752688172,0.9032506969334926,0.9024137544802867,0.902015506770211,0.9018070489844683,N/A,N/A,N/A,0.9077589854639586,0.9083003534448427,0.9076469782954998,0.9077029818797292,0.9075567502986858,0.9070620519713262,0.6133076961369972,0.5905826861808045
crop_x0.10,0.564432123655914,0.5652846226602947,0.5088485663082437,0.5071186778176026,0.44312836021505375,0.6299998755475906,0.5183722869374751,0.8256701762246117,0.8256577309836718,0.8228575517722023,0.8227237654320988,0.8230193399044206,0.8228575517722023,0.822705097570689,0.8222197331740343,N/A,N/A,N/A,0.825735513739546,0.8262519912385504,0.8257635155316607,0.825915969733174,0.8257168458781362,0.8252999303066507,0.5917774293110315,0.6023527727996814
contrast_x0.5,0.5397096525288729,0.539893219832736,0.5037397949024293,0.5029557447232178,0.4564385454002389,0.6599991288331342,0.5379362056949423,0.9952116935483871,0.9953454798884906,0.974453031660693,0.9744312524890482,0.9759900189167662,0.974453031660693,0.9744965900039825,0.9732240641178813,0.9462645609318996,0.9075567502986858,0.8257884060135404,N/A,N/A,0.9951899143767423,0.994670325567503,0.9913910045798486,0.9779874800876145,0.608170922939068,0.565617532855436
contrast_x0.2,0.49056339605734767,0.4914252289924333,0.5016023247710075,0.5014467592592593,0.4565909996017523,0.6602200318598168,0.5378024193548387,0.9924426274392673,0.9928222072879331,0.9726329151732378,0.9726889187574671,0.9724524591796098,0.9726329151732378,0.971316830943847,0.9716964107925129,0.9450573725607327,0.9070122710075668,0.8250541367980884,N/A,N/A,0.9919977100756671,0.9890886350059738,0.9784323974512147,0.946049880525687,0.5402914675428117,0.5600700667064914
